Advantage Party of Alberta (APA)	APA	https://www.elections.ab.ca/uploads/AlbertaAdvantageLogo-250x90.png	559, 9768 170 Street	Edmonton	Alberta	T5T 5L4		
Alberta Liberal Party (LIB)	LIB	https://www.elections.ab.ca/wp-content/uploads/LIB-250x76.png	PO Box 94098 RPO Elbow River	Calgary	AB	T2S 0S4	mailto:office@albertaliberal.com	
Alberta New Democratic Party (NDP)	NDP		201, 10544 114 Street	Edmonton	Alberta	T5H 3J7	mailto:info@albertaNDP.ca	
Alberta Party (AP)	AP	https://www.elections.ab.ca/wp-content/uploads/Alberta-Party-250x161.png	Stn Main, PO Box 1045	Edmonton	Alberta	T5J 2M1	mailto:info@albertaparty.ca	
Communist Party - Alberta (CP - A)	CP - A						mailto:naomirankin@shaw.ca	
Green Party of Alberta (GPA)	GPA		Box 45066 Brentwood PO	Calgary	Alberta	T2L 1Y4	mailto:info@greenpartyofalberta.ca	
Pro-Life Alberta Political Association (PAPA)	PAPA	https://www.elections.ab.ca/wp-content/uploads/Pro_Life_Alberta_Logo.png		Calgary	Alberta	T3C 3B3	mailto:connect@prolifealberta.com	
Reform Party of Alberta (REF)	REF	https://www.elections.ab.ca/wp-content/uploads/Reform-Logo.png	PO Box 25156 RPO Deer Park				mailto:info@reformalberta.com	
The Buffalo Party of Alberta (BPA)	BPA			Calgary	Alberta	T2H 0X7	mailto:info@buffalopartyab.ca	
The Independence Party of Alberta (TIP)	TIP	https://www.elections.ab.ca/uploads/ABIndependencePartyLogo-250x129.png	4932 46 Street	Innisfail	AB	T4G 1N3	mailto:%20coms@ab-independence.com	
United Conservative Party of Alberta (UCP)	UCP		203, 2915 21 Street NE				mailto:info@unitedconservative.ca	
Wildrose Independence Party of Alberta (WIPA)	WIPA	https://www.elections.ab.ca/wp-content/uploads/wipa-logo-250x214.png		Edmonton	AB	T5T 1L6	mailto:contact@wildrosenation.com	
Wildrose Loyalty Coalition (WLC)	WLC			Ponoka	Alberta	T4J 1R3	mailto:admin@votewlc.com	http://www.wildroseloyaltycoalition.com
